ktrl_p;ktrl_e;tih_p;tih_e
0,89;0,89;1,56;0,78
0,48;1,37;0,05;0,25
1,12;1,28;0,07;1,28
1,56;0,38;0,54;0,79
1,52;1,19;0,56;1
1,75;0,86;1,32;0,76
0,1;1,07;0,98;1,18
0,92;1,04;0,66;0,11
1,48;0,83;0,8;0,81
0,56;1,01;0,78;0,61
0,73;0,96;0,48;0,87
0,31;0,73;0,26;0,99
0,24;0,37;0,77;0,88
0,61;0,71;0,65;0,3
0,7;0,82;0,3;0,75
0,13;0,72;0,41;0,72
0,78;0,92;0,38;0,41
0,85;1,25;0,41;0,81
1,08;0,81;0,3;0,42
0,87;0,91;0,36;0,81
0,88;0,54;1,09;0,02
0,86;1,09;1,29;0,22
1,58;1,63;0,72;0,17
0,98;1,25;1,22;0,97
0,94;0,61;1,57;0,88
0,8;1,11;0,57;1,11
1,85;0,9;0,89;0,47
1,38;0,59;0,6;0,95
2,02;0,99;0,15;0,94
0,74;1,17;0,07;0,53
1,72;1,26;1,57;0,38
0,34;1,15;1,72;0,69
1,25;0,99;0,99;1,32
1,4;0,17;1,02;0,4
